รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT004,แผ่น,ลามิเนตสี รหัส A1103M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1408M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1128M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1104M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1002M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A2000M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1713M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A2073M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A2543M,,670,,
CAT004,แผ่น,ลามิเนตสี รหัส A2030M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A3009M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1104M,,670,10,
CAT004,แผ่น,ลามิเนตสี รหัส A1104G,,,,
CAT004,แผ่น,ลามิเนตสี รหัส A1416M,,670,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8310M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8801M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7634M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8606M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7816M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8624M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8045M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A6301M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7901M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8608M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8404M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7803M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8903M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7755M,,770,10,
